Unnamed: 0,course_name,course_url,course_photo,course_level,course_effort,course_length,course_language,course_subtitle,course_price,course_partner,university_link,course_enrollments,subject,title,rating,number_of_ratings,number_of_students,price
1617,Drug Discovery &Medicinal Chemistry…,https://www.edx.org/course/med-001,https://prod-discovery.edx-cdn.org/media/course/image/3b426ab9-93ad-467d-a91e-4d21dd3544c4-2ffb97ce8e63.png,['Intermediate'],['5–7 hours per week'],['5 Weeks'],['English'],['English'],['$99 USD'],['Davidson College'],['https://www.edx.org/school/davidsonx'],not-mentioned,Medicine,"DavidsonX: Innovate & Regulate: Drug Research, Costs, Clinical Trials & Approval",4.9,14,27015,119
1618,Introducción al quirófano…,https://www.edx.org/course/introduccion-al-quirofano,https://prod-discovery.edx-cdn.org/media/course/image/69d69630-bd68-4552-a7b2-419e8d0a26ee-1fb7d42d31be.jpg,['Intermediate'],['3–4 hours per week'],['6 Weeks'],['Español'],['Español'],['$29 USD'],['Universidades Anáhuac'],['https://www.edx.org/school/anahuacx'],"5,049",Medicine,AnahuacX: Introducción al quirófano,5.0,7,Unknown,19
1619,Introduction toBiomedical Imaging…,https://www.edx.org/course/introduction-to-biomedical-imaging,https://prod-discovery.edx-cdn.org/media/course/image/494a5714-605c-420a-bff0-a9550a6cdcbe-06ccf2d6ac28.jpg,['Introductory'],['4–5 hours per week'],['12 Weeks'],['English'],['English'],['$99 USD'],['The University of Queensland'],['https://www.edx.org/school/uqx'],"57,227",Medicine,UQx: Introduction to Biomedical Imaging,4.5,5,Unknown,209
1620,Lifestyle MedicineFundamentals…,https://www.edx.org/course/lifestyle-medicine-fundamentals,https://prod-discovery.edx-cdn.org/media/course/image/839325f1-e081-42e7-9475-42ecfa5bd8bc-88de0b5974b1.jpg,['Introductory'],['5–10 hours per week'],['1 Weeks'],['English'],['English'],['$149 USD'],['Doane University'],['https://www.edx.org/school/doanex'],"9,004",Medicine,DoaneX: Lifestyle Medicine Fundamentals,4.8,12,14819,189
1621,Clinical ReasoningProcess…,https://www.edx.org/course/clinical-reasoning-process,https://prod-discovery.edx-cdn.org/media/course/image/311ffd88-2f4f-4db7-b8a9-36c8de0a44e5-5149f5d82e12.png,['Introductory'],['2–4 hours per week'],['6 Weeks'],['English'],['English'],['$149 USD'],['Université de Montréal'],['https://www.edx.org/school/umontrealx'],"5,783",Medicine,UMontrealX: Clinical Reasoning Process,None,None,9484,149
1622,Alzheimer’s Disease &Dementia Care…,https://www.edx.org/course/alzheimers-disease-dementia-care,https://prod-discovery.edx-cdn.org/media/course/image/71e0c33c-1e31-4706-aadb-d74472b8f805-93f2bd6f8440.jpeg,['Intermediate'],['2–3 hours per week'],['5 Weeks'],['English'],['English'],['$49 USD'],"['Salisbury University', 'University System of Maryland']","['https://www.edx.org/school/su', 'https://www.edx.org/school/usmx']","6,140",Medicine,"SU, USMx: Alzheimer’s Disease & Dementia Care",None,None,Unknown,49
1623,Lifestyle MedicineTreatments of ChronicDisease – Part 1…,https://www.edx.org/course/lifestyle-medicine-treatments-of-chronic-disease-p,https://prod-discovery.edx-cdn.org/media/course/image/8731a264-4586-4e11-8750-ae7fcf0dc5c2-fee446ef9959.jpg,['Intermediate'],['10–15 hours per week'],['2 Weeks'],['English'],['English'],['$179 USD'],['Doane University'],['https://www.edx.org/school/doanex'],"6,095",Medicine,DoaneX: Lifestyle Medicine Treatments of Chronic Disease – Part 1,4.7,7,11248,219
1624,Introduction to LifestyleMedicine…,https://www.edx.org/course/introduction-to-lifestyle-medicine,https://prod-discovery.edx-cdn.org/media/course/image/43e3d02c-ec4f-413e-be22-be2fc646afcc-a0ed5d315a04.jpg,['Introductory'],['5–10 hours per week'],['8 Weeks'],['English'],['English'],['$79 USD'],['Doane University'],['https://www.edx.org/school/doanex'],"9,308",Biology & Life Sciences,DoaneX: Introduction to Lifestyle Medicine,None,None,12284,119
1625,Applied anatomy of thelocomotor system…,https://www.edx.org/course/applied-anatomy-of-the-locomotor-system,https://prod-discovery.edx-cdn.org/media/course/image/c0fddfa1-b399-44e8-8164-ed9f2cd8ac5d-092db81d002e.jpg,['Intermediate'],['10–12 hours per week'],['8 Weeks'],['English'],['English'],['$60 USD'],['Università degli Studi di Napoli Federico II'],['https://www.edx.org/school/federicax'],"12,493",Medicine,FedericaX: Applied anatomy of the locomotor system,None,None,16878,54.98
1626,Vaccines: from smallpoxto technologies of thefuture…,https://www.edx.org/course/vaccines-from-smallpox-to-technologies-of-future,https://prod-discovery.edx-cdn.org/media/course/image/e3369905-de09-4065-8087-d3fe8e197a3d-47f85b614e10.png,['Intermediate'],['3–5 hours per week'],['6 Weeks'],['English'],['English'],['$49 USD'],['KU Leuven'],['https://www.edx.org/school/kuleuvenx'],"6,394",Medicine,KULeuvenX: Vaccines: from smallpox to technologies of the future,None,None,Unknown,49
1627,Collaborative DataScience for Healthcare…,https://www.edx.org/course/collaborative-data-science-for-healthcare,https://prod-discovery.edx-cdn.org/media/course/image/be6f00d4-5047-459e-8249-954e2526f68a-46afa28ed3f9.jpeg,['Advanced'],['2–3 hours per week'],['12 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned,Data Analysis & Statistics,MITx: Collaborative Data Science for Healthcare,None,None,14710,49
1628,Data Analytics andVisualization in HealthCare…,https://www.edx.org/course/data-analytics-and-visualization-in-health-care,https://prod-discovery.edx-cdn.org/media/course/image/04736418-d7e3-4063-89d6-42e7704f9bb1-b506fd9a42c3.jpg,['Advanced'],['8–10 hours per week'],['8 Weeks'],['English'],['English'],['$249 USD'],['Rochester Institute of Technology'],['https://www.edx.org/school/ritx'],"7,625",Data Analysis & Statistics,RITx: Data Analytics and Visualization in Health Care,4.8,5,13922,249
1629,Design in Healthcare:Using Patient JourneyMapping…,https://www.edx.org/course/design-in-healthcare-using-patient-journey-mapping,https://prod-discovery.edx-cdn.org/media/course/image/ffbec579-96a8-46aa-8631-d4f4cefb6d40-ed33d7ddc355.png,['Introductory'],['3–4 hours per week'],['8 Weeks'],['English'],['English'],['$129 USD'],['Delft University of Technology'],['https://www.edx.org/school/delftx'],"18,268",Design,DelftX: Design in Healthcare: Using Patient Journey Mapping,None,None,23105,185
1630,"Healthcare Finance,Economics and Risk…",https://www.edx.org/course/healthcare-finance-economics-and-risk,https://prod-discovery.edx-cdn.org/media/course/image/e84f5ffc-bec0-44b6-98e7-8152d2d3475b-8af9db49a0bb.jpg,['Intermediate'],['5–10 hours per week'],['5 Weeks'],['English'],['English'],['$199 USD'],['Doane University'],['https://www.edx.org/school/doanex'],"8,301",Economics & Finance,"DoaneX: Healthcare Finance, Economics and Risk",None,None,12092,249
1631,Understanding theAustralian Health CareSystem…,https://www.edx.org/course/understanding-the-australian-health-care-system,https://prod-discovery.edx-cdn.org/media/course/image/43b5606a-1681-4f6c-938a-6d2c0fe006dc-69e0725f4867.jpg,['Introductory'],['1–2 hours per week'],['9 Weeks'],['English'],['English'],['$59 USD'],['The University of Queensland'],['https://www.edx.org/school/uqx'],"8,687",Medicine,UQx: Understanding the Australian Health Care System,4.6,7,13465,119
