course_title,url,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,rating,number_of_ratings,update_date,number_of_students,time_since_creation
Daytrading basado en Precio y Volumen,https://www.udemy.com/trading-intradiario-basado-en-precio-y-volumen/,40,92,15,19,Intermediate Level,1.5,2015-02-18T23:28:01Z,Finance & Accounting,4.2,128.0,2/2015,437.0,9
Aprenda Cálculo Financeiro de Forma Simples,https://www.udemy.com/aprenda-calculo-financeiro-de-forma-simples/,20,76,14,21,All Levels,2.0,2016-06-02T18:09:38Z,Finance & Accounting,3.5,30.0,6/2016,165.0,8
Gestão Financeira Passo a Passo,https://www.udemy.com/estruturacao-financeira/,45,18,3,18,All Levels,3.5,2017-05-08T02:40:04Z,Finance & Accounting,4.7,1.466,5/2020,4315.0,7
Financial Accounting Plus Excel and SAP Crash Course.,https://www.udemy.com/financial-accounting1/,20,18,2,11,Beginner Level,1.0,2016-05-23T17:03:43Z,Finance & Accounting,3.9,42.0,5/2016,179.0,8
How to read a Profit & Loss Account and Balance Sheet,https://www.udemy.com/how-to-read-a-profit-loss-account-and-balance-sheet/,20,49,10,13,All Levels,2.0,2014-09-22T04:05:52Z,Finance & Accounting,3.8,102.0,5/2017,484.0,10
ACCA MA1 Management Information,https://www.udemy.com/acca-ma1-management-information/,50,16,1,48,Beginner Level,3.5,2015-08-24T23:33:21Z,Finance & Accounting,4.2,54.0,8/2015,277.0,9
Stock Trading: Learn Swing Trading Stocks & Playing Options,https://www.udemy.com/swingtrading/,200,336,6,13,All Levels,0.6833333333333333,2016-10-25T16:11:24Z,Finance & Accounting,3.9,136.0,3/2023,17714.0,8
Bookkeeping Systems,https://www.udemy.com/bookkeeping-systems/,20,20,1,9,All Levels,1.0,2014-09-22T05:16:06Z,Finance & Accounting,3.9,14.0,5/2017,77.0,10
How to Analyze Stocks and Write for Seeking Alpha,https://www.udemy.com/seeking-alpha-how-to-write-about-stocks-online/,195,360,24,12,Beginner Level,2.5,2015-12-18T02:55:11Z,Finance & Accounting,4.1,83.0,11/2021,580.0,9
Samuel and Co Trading - 5 Star Reviews - Introduction to FX,https://www.udemy.com/samuel-co-forex-and-stock-trading/,50,592,109,24,All Levels,5.5,2014-02-10T18:12:06Z,Finance & Accounting,4.7,182.0,10/2015,838.0,10
Finance and Accounting for Beginners to Intermediate,https://www.udemy.com/finance-and-accounting-for-beginners/,95,1222,14,61,All Levels,6.0,2015-10-07T17:25:18Z,Finance & Accounting,4.1,73.0,5/2020,1493.0,9
Certificate Program In Management Accounting,https://www.udemy.com/management-accounting/,50,1532,7,24,All Levels,6.0,2014-04-24T09:48:19Z,Finance & Accounting,3.9,14.0,4/2014,1558.0,10
Master Calendar Spreads with this live trade on Gold (GLD),https://www.udemy.com/calendar-spreads/,60,540,44,6,Expert Level,1.0,2013-03-02T14:03:59Z,Finance & Accounting,4.7,122.0,12/2019,1035.0,11
An Introduction to Financial Markets on Wall Street,https://www.udemy.com/an-introduction-to-financial-markets-on-wall-street/,30,7,1,29,All Levels,2.0,2017-04-28T00:08:38Z,Finance & Accounting,4.0,27.0,7/2019,166.0,7
Quantitative Investment Analysis in Excel (Template Incl.),https://www.udemy.com/quantitative-investments/,200,4,1,16,Beginner Level,1.5,2017-06-28T15:09:21Z,Finance & Accounting,3.6,45.0,1/2018,288.0,7
Forex - Trade Gartley with Precision - Complete Strategy,https://www.udemy.com/forex-trade-gartley-with-precision-complete-strategy/,20,50,1,23,All Levels,1.5,2016-07-29T16:49:37Z,Finance & Accounting,4.6,13.0,6/2017,110.0,8
Bitcoin & Ethereum CryptoCurrency Course (2 Course Bundle),https://www.udemy.com/bitcoin-ethereum-bundle/,200,1,0,52,All Levels,2.5,2017-07-05T19:06:26Z,Finance & Accounting,4.0,114.0,5/2024,13416.0,7
Algorithmic Trading on Forex with MT4 Robot-Constructor,https://www.udemy.com/algotrading/,145,5,0,13,All Levels,1.0,2017-06-16T05:29:13Z,Finance & Accounting,4.3,82.0,8/2020,685.0,7
Fundamentals of MQL5,https://www.udemy.com/mql5-beginner-to-expert/,45,16,1,16,Beginner Level,1.5,2017-04-06T21:39:23Z,Finance & Accounting,4.0,326.0,8/2019,1272.0,7
How to be A High Performance Insurance Broker Part 2,https://www.udemy.com/how-to-be-a-high-performance-insurance-broker-part-2/,40,70,3,15,All Levels,2.0,2014-04-06T16:50:18Z,Finance & Accounting,3.7,9.0,4/2014,122.0,10
The Complete Xero Online Accounting Course For All,https://www.udemy.com/online-bookkeeping-with-practice-and-job-recommendation/,20,7,3,15,Beginner Level,2.0,2017-02-13T23:21:49Z,Finance & Accounting,4.3,768.0,3/2024,2574.0,7
