url,title,subject,level,total_length,rating,num_ratings,price,num_students,past_num_students,online_academy
https://www.edx.org/course/management-in-engineering-i,MITx: Management in Engineering: Accounting and Planning,Development,Intermediate Level,96.0,4.2,12.0,175.0,39471.0,28358.0,edX
https://www.edx.org/course/system-design-for-supply-chain-management-and-logi,ChalmersX: System Design for Supply Chain Management and Logistics,Business,Beginner Level,35.0,4.5066793893129775,21.236641221374047,49.0,25735.0,20069.0,edX
https://www.edx.org/course/predictionx-lost-without-longitude,HarvardX: PredictionX: Lost Without Longitude,History,Beginner Level,5.0,4.5,16.0,142.28481149012566,47548.0,10689.0,edX
https://www.edx.org/course/risk-management-in-development-projects,IDBx: Risk Management in Development Projects,Business,Intermediate Level,30.0,4.5,28.0,25.0,20091.0,13617.0,edX
https://www.edx.org/course/interpreting-vernacular-architecture-in-asia,HKUx: Interpreting Vernacular Architecture in Asia,Architecture,Beginner Level,18.0,4.5066793893129775,21.236641221374047,50.0,8014.0,51943.173363949485,edX
https://www.udemy.com/how-to-grow-your-small-business-and-not-run-out-of-cash/,Easy Cash Flow Forecasting for Startups and Entrepreneurs,Finance & Accounting,Beginner Level,1.5,3.9,27.0,25.0,495.0,408.0,Udemy
https://www.udemy.com/complete-guitar-system-beginner-to-advanced/,Complete Guitar Lessons System - Beginner to Advanced,Music,All Levels,34.0,4.6,42102.0,145.0,296308.0,32935.0,Udemy
https://www.udemy.com/curso-de-diseno-e-ilustracion-de-armas-para-videojuegos/,Curso de Diseño e Ilustracion de Armas para Videojuegos,Design,All Levels,2.5,4.6,39.0,40.0,276.0,183.0,Udemy
https://www.edx.org/course/fundamentos-de-informacion-financiera-y-contable-2,AnahuacX: Fundamentos de información financiera y contable,Finance & Accounting,Intermediate Level,35.0,4.9,7.0,39.0,16809.0,51943.173363949485,edX
https://www.udemy.com/xml-for-absolute-beginners-learn-to-create-your-own-tags/,XML For Absolute Beginners: Learn to create your own tags,Development,Beginner Level,1.0,4.0,169.0,75.0,6448.0,1945.0,Udemy
https://www.udemy.com/piano-with-willie-basics-of-improvisation/,Piano With Willie: Basics of Improvisation,Music,Beginner Level,3.5,4.6,25.0,40.0,413.0,76.0,Udemy
https://www.edx.org/course/excel-avanzado-importacion-y-analisis-de-datos,UPValenciaX: Excel avanzado: importación y análisis de datos,Development,Expert Level,32.0,4.5,6.0,69.0,86548.0,48907.0,edX
https://www.udemy.com/html-awesomeness/,HTML : HTML Awesomeness,Development,Beginner Level,0.6333333333333333,3.9,1728.2865544013123,25.0,13465.0,988.0,Udemy
https://www.edx.org/course/matlab-and-octave-for-beginners,EPFLx: MATLAB and Octave for Beginners,Development,Beginner Level,24.0,4.5066793893129775,21.236641221374047,179.0,79216.0,69632.0,edX
https://www.edx.org/course/fintech-ethics-and-risks,HKUx: FinTech Ethics and Risks,Finance & Accounting,Beginner Level,30.0,4.4,9.0,199.0,16845.0,11023.0,edX
https://www.edx.org/course/introduccion-a-la-genetica-y-la-evolucion,UAMx: Introducción a la genética y la evolución,Sciences,Beginner Level,9.0,3.9,7.0,29.0,30510.0,15834.0,edX
https://www.udemy.com/jquery-foundation/,Learning 200 jQuery Functions with 800 Examples,Development,All Levels,18.5,4.4,78.0,195.0,2079.0,1766.0,Udemy
https://www.udemy.com/develop-a-professional-onepage-wordpress-site-with-no-coding/,Develop a Professional OnePage WordPress site With No Coding,Development,Beginner Level,1.5,3.9,12.0,20.0,1756.0,1747.0,Udemy
https://www.udemy.com/investimento-em-acoes-para-leigos/,Investimento em Ações para Leigos,Finance & Accounting,Beginner Level,2.5,3.5,295.0,20.0,1143.0,201.0,Udemy
https://www.edx.org/course/rinones-conoce-sus-funciones-para-mejorar-tu-salud,UAMx: Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,Health,Beginner Level,30.0,4.5066793893129775,21.236641221374047,29.0,29423.0,20675.0,edX
https://www.udemy.com/html-css-bootstrap-build-your-first-website-today/,HTML5 + CSS3 + Bootstrap: The Beginner Web Design Course,Development,Beginner Level,8.5,4.5,2069.0,200.0,17411.0,346.0,Udemy
https://www.edx.org/course/atoms-molecules-and-bonding,"MITx: General Chemistry I: Atoms, Molecules, and Bonding",Sciences,Intermediate Level,180.0,4.9,7.0,149.0,34220.0,51943.173363949485,edX
