course_url,course_level,course_enrollments,subject,title,rating,number_of_ratings,number_of_students,price,total_length
https://www.edx.org/course/leading-high-performing-teams,Intermediate Level,35677.0,Business,UQx: Leading High-Performing Teams,4.5,10.0,44817,409.0,100.0
https://www.edx.org/course/public-speaking-2,Beginner Level,12239.0,Business,RITx: Public Speaking,4.4,10.0,50095,199.0,18.0
https://www.edx.org/course/becoming-an-effective-leader,Intermediate Level,58336.0,Business,UQx: Becoming an Effective Leader,4.3,21.0,94863,119.0,100.0
https://www.edx.org/course/successful-negotiation-essential-strategies-and-skills,Beginner Level,33403.0,Business,MichiganX: Successful Negotiation: Essential Strategies and Skills,4.6,18.0,68461,59.0,28.0
https://www.edx.org/course/critical-thinking-problem-solving-3,Beginner Level,8025.0,Business,RITx: Critical Thinking & Problem Solving,4.6,42.0,47945,199.0,18.0
https://www.edx.org/course/leading-with-effective-communication-inclusive-lea,Beginner Level,109459.0,Business,CatalystX: Leading With Effective Communication (Inclusive Leadership Training),4.7,109.0,140327,69.0,8.0
https://www.edx.org/course/digital-branding-and-engagement,Intermediate Level,124157.0,Business,CurtinX: Digital Branding and Engagement,4.4,5.0,140245,99.0,16.0
https://www.edx.org/course/ingles-empresarial-para-venta-gestion-y-liderazgo-de-equipos,Beginner Level,12231.0,Business,"AnahuacX: Inglés empresarial: ventas, gestión y liderazgo",4.8,10.0,40356,39.0,32.0
https://www.edx.org/course/becoming-a-successful-leader-inclusive-leadershi-2,Beginner Level,216681.0,Business,CatalystX: Becoming a Successful Leader (Inclusive Leadership Training),4.7,125.0,234628,69.0,8.0
https://www.edx.org/course/business-communication-3,Beginner Level,5872.0,Business,RITx: Business Communication,4.4,18.0,16778,199.0,18.0
https://www.edx.org/course/unconscious-bias-from-awareness-to-action-2,Beginner Level,28015.0,Business,CatalystX: Unconscious Bias: From Awareness to Action,4.4,26.0,37358,59.0,6.0
https://www.edx.org/course/negociacion-exitosa-estrategias-y-habilidades-esenciales-en-espanol,Beginner Level,5458.0,Business,MichiganX: Negociación exitosa: Estrategias y habilidades esenciales (en español),4.6,17.0,17500,59.0,28.0
https://www.edx.org/course/storytelling-for-social-change,Beginner Level,31538.0,Business,MichiganX: Storytelling for Social Change,4.6,15.0,47112,59.0,15.0
https://www.edx.org/course/comunicacion-y-redaccion-digital,Beginner Level,8017.0,Business,AnahuacX: Comunicación y Redacción Digital,4.5066793893129775,21.236641221374047,29436,19.0,16.0
https://www.edx.org/course/storytelling-in-the-workplace-3,Beginner Level,51943.173363949485,Business,RITx: Storytelling in the Workplace,4.4,17.0,33113,199.0,18.0
https://www.edx.org/course/debate-y-argumentacion,Beginner Level,11623.0,Social Sciences,URosarioX: Debate y argumentación,4.5066793893129775,21.236641221374047,22238,19.0,24.0
https://www.edx.org/course/marketing-foundations,Beginner Level,51943.173363949485,Business,DoaneX: Marketing Foundations,4.5066793893129775,21.236641221374047,12965,149.0,36.0
https://www.edx.org/course/visual-presentation-3,Beginner Level,51943.173363949485,Business,RITx: Visual Presentation,4.3,8.0,13223,199.0,18.0
https://www.edx.org/course/coaching-skills-for-educators,Beginner Level,8617.0,Teaching & Academics,ImperialX: Coaching Skills for Learner-Centred Conversations,4.5,20.0,23671,59.0,8.0
https://www.edx.org/course/steps-in-japanese-for-beginners1-part2-2,Beginner Level,8505.0,Language,WasedaX: Steps in Japanese for Beginners1 Part2,4.5066793893129775,21.236641221374047,15742,129.0,25.0
